"Table_Number","Year","Measure","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG4A.1","2031","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","55.0"
"CtG4A.1","2031","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","31.1","36.8","35.9","30.7","29.7","29.4","22.2","15.0","32.2"
"CtG4A.1","2030","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","53.5"
"CtG4A.1","2030","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","31.9","36.7","35.7","30.7","29.7","30.1","22.5","15.2","32.4"
"CtG4A.1","2029","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","52.0"
"CtG4A.1","2029","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","32.7","36.5","35.5","30.8","29.7","30.8","22.9","15.4","32.7"
"CtG4A.1","2028","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","50.4"
"CtG4A.1","2028","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","33.6","36.4","35.3","30.9","29.7","31.5","23.3","15.6","32.9"
"CtG4A.1","2027","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","48.9"
"CtG4A.1","2027","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","34.4","36.3","35.1","30.9","29.7","32.2","23.7","15.8","33.1"
