"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG10A.1","2031","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1620.2"
"CtG10A.1","2031","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1996.7","958.6","2888.2","4341.4","2702.2","939.6","1502.2","4542.9","2678.4"
"CtG10A.1","2031","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","628.0","708.9","484.2","2128.0","708.5","521.9","131.7","849.5","635.7"
"CtG10A.1","2030","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1644.0"
"CtG10A.1","2030","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1959.1","1012.9","2781.5","4234.1","2649.9","917.0","1502.2","4359.4","2607.5"
"CtG10A.1","2030","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","564.1","636.7","435.0","1911.4","636.3","468.8","131.7","763.0","571.0"
"CtG10A.1","2029","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1667.8"
"CtG10A.1","2029","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1921.4","1067.2","2674.8","4126.8","2597.6","894.4","1502.2","4175.9","2536.7"
"CtG10A.1","2029","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","500.5","564.9","385.9","1695.8","564.6","415.9","131.7","677.0","506.6"
"CtG10A.1","2028","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1691.7"
