"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total_5juris","Total_6juris","Aust"
"CtG14A.1","2031","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","5.9",""
"CtG14A.1","2031","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","39.2",""
"CtG14A.1","2031","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","8.5",""
"CtG14A.1","2030","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","7.3",""
"CtG14A.1","2030","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","38.0",""
"CtG14A.1","2030","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","7.7",""
"CtG14A.1","2029","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","8.6",""
"CtG14A.1","2029","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","36.8",""
"CtG14A.1","2029","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","6.9",""
"CtG14A.1","2028","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","10.0",""
"CtG14A.1","2028","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","35.6",""
"CtG14A.1","2028","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","6.1",""
"CtG14A.1","2027","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","11.3",""
"CtG14A.1","2027","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","34.4",""
"CtG14A.1","2027","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","5.4",""
"CtG14A.1","2026","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","12.7",""
"CtG14A.1","2026","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","33.2",""
