"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG2A.1","2031","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","91.0"
"CtG2A.1","2031","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","94.5","91.3","84.6","92.7","94.3","97.0","83.3","90.3"
"CtG2A.1","2031","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","4.3","3.8","8.3","11.3","5.7","15.9","6.5","2.3"
"CtG2A.1","2030","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","90.8"
"CtG2A.1","2030","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","94.1","91.1","84.8","92.4","94.0","96.4","83.5","90.2"
"CtG2A.1","2030","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","3.9","3.5","7.6","10.3","5.2","14.6","5.9","2.1"
"CtG2A.1","2029","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","90.7"
"CtG2A.1","2029","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","93.7","91.0","85.0","92.1","93.6","95.8","83.7","90.1"
"CtG2A.1","2029","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","3.5","3.1","6.9","9.4","4.8","13.2","5.4","1.9"
"CtG2A.1","2028","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","90.5"
