"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Description8","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"CtG1A.1","2030-32","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Males","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","0"
"CtG1A.1","2030-32","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Females","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","0"
"CtG1A.1","2030-32","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Males","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","4.0","..","3.3","10.1","..","..","..","11.7","","6.5"
"CtG1A.1","2030-32","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Females","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","3.7","..","4.0","10.3","..","..","..","15.1","","6.7"
"CtG1A.1","2025-27","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Males","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","2.3"
"CtG1A.1","2025-27","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Females","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","1.9"
"CtG1A.1","2025-27","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Males","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","5.3","..","5.0","11.1","..","..","..","12.1","","7.5"
"CtG1A.1","2025-27","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Females","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","4.8","..","5.1","10.9","..","..","..","14.6","","7.3"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","73.8","na","72.9","68.9","na","na","na","65.6","","71.9"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","Lower 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","72.8","na","72.0","66.5","na","na","na","64.4","","71.1"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","Upper 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","74.8","na","73.8","71.3","na","na","na","66.8","","72.7"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","77.9","na","76.6","72.6","na","na","na","69.4","","75.6"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","Lower 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","77.1","na","75.8","70.5","na","na","na","68.5","","74.9"
