"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG12A.1","2031","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","26.0"
"CtG12A.1","2031","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","39.1","110.0","56.6","57.8","108.8","31.7","54.2","21.1","54.3"
"CtG12A.1","2031","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","5.6","16.6","5.4","1.7","20.2","3.4","21.3","2.4","5.5"
"CtG12A.1","2030","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","27.8"
"CtG12A.1","2030","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","40.1","107.2","54.7","57.8","105.6","31.5","54.7","22.4","53.8"
"CtG12A.1","2030","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","5.0","14.9","4.9","1.7","18.2","3.1","19.1","2.2","4.9"
"CtG12A.1","2029","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","29.6"
"CtG12A.1","2029","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","41.1","104.3","52.9","57.8","102.3","31.4","55.2","23.7","53.3"
"CtG12A.1","2029","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","4.5","13.2","4.3","1.7","16.1","2.7","17.0","1.9","4.4"
"CtG12A.1","2028","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","31.3"
