"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Description8","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","%","88.5","92.5","91.6","86.0","91.7","92.7","np","69.9","88.3"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","15+ years old","","95%CI","ABS National Aboriginal and Torres Strait Islander Health Survey","% (±)","2.4","2.7","2.7","3.4","3.2","3.6","np","4.8","1.4"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Used the internet daily","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","%","82.0","89.2","85.3","79.8","85.2","84.1","np","54.3","81.3"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Used the internet daily","15+ years old","","95%CI","ABS National Aboriginal and Torres Strait Islander Health Survey","% (±)","2.9","3.3","4.0","3.8","5.0","11.2","np","5.1","1.8"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Used the internet but not daily","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","%","6.8","2.4","6.4","5.7","6.6","np","np","15.6","6.9"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Used the internet but not daily","15+ years old","","95%CI","ABS National Aboriginal and Torres Strait Islander Health Survey","% (±)","2.1","1.8","3.0","2.0","3.6","np","np","3.8","1.3"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has not personally used the internet in the last 3 months","","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","%","11.6","6.2","8.5","14.2","8.0","7.3","np","29.9","11.7"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has not personally used the internet in the last 3 months","","15+ years old","","95%CI","ABS National Aboriginal and Torres Strait Islander Health Survey","% (±)","2.5","2.4","2.7","3.4","3.1","3.6","np","4.7","1.3"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has not personally used the internet in the last 3 months","Used the internet but not in the last 3 months","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","%","1.5","2.0","0.9","1.4","1.1","np","np","2.2","1.3"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has not personally used the internet in the last 3 months","Used the internet but not in the last 3 months","15+ years old","","95%CI","ABS National Aboriginal and Torres Strait Islander Health Survey","% (±)","1.2","np","np","1.0","0.9","np","np","1.3","0.6"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has not personally used the internet in the last 3 months","Has never personally used the internet","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","%","9.9","4.4","7.9","13.4","6.8","6.9","np","27.5","10.3"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Proportion","Has not personally used the internet in the last 3 months","Has never personally used the internet","15+ years old","","95%CI","ABS National Aboriginal and Torres Strait Islander Health Survey","% (±)","2.6","1.8","2.7","3.5","3.1","3.9","np","4.5","1.4"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","'000","205.6","50.3","167.9","68.3","32.2","21.6","np","37.6","589.7"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Used the internet daily","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","'000","190.5","48.5","156.3","63.4","29.9","19.6","np","29.2","542.9"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Used the internet but not daily","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","'000","15.7","1.3","11.8","4.5","2.3","np","np","8.4","46.0"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Number","Has not personally used the internet in the last 3 months","","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","'000","26.9","3.4","15.6","11.3","2.8","1.7","np","16.1","78.0"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Number","Has not personally used the internet in the last 3 months","Used the internet but not in the last 3 months","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","'000","3.4","1.1","1.6","1.1","0.4","np","np","1.2","9.0"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Number","Has not personally used the internet in the last 3 months","Has never personally used the internet","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","'000","23.1","2.4","14.5","10.6","2.4","1.6","np","14.8","68.8"
"CtG17A.1","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","Actual","Aboriginal and Torres Strait Islander people","Number","Total","","15+ years old","","","ABS National Aboriginal and Torres Strait Islander Health Survey","'000","232.3","54.4","183.3","79.4","35.1","23.3","np","53.8","667.6"
"CtG17A.2","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","Males","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Males","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","85.6","91.8","89.1","84.1","92.9","92.0","np","64.7","86.2"
"CtG17A.2","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","Males","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Males","","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","4.0","4.3","3.7","5.3","5.0","5.6","np","6.5","2.1"
"CtG17A.2","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","Females","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Females","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","90.6","94.0","92.8","86.3","91.7","90.4","np","75.3","90.3"
"CtG17A.2","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","Females","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Females","","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","4.1","3.3","3.5","5.0","3.7","5.6","np","5.7","1.8"
